log_id,action_id,message,log_date_gmt,log_date_local
1,9,action created,2024-04-29 10:41:00,2024-04-29 10:41:00
2,10,action created,2024-04-29 10:41:00,2024-04-29 10:41:00
3,9,action started via WP Cron,2024-04-29 10:41:00,2024-04-29 10:41:00
4,9,action complete via WP Cron,2024-04-29 10:41:00,2024-04-29 10:41:00
5,11,action created,2024-04-29 10:41:01,2024-04-29 10:41:01
6,12,action created,2024-04-29 10:41:01,2024-04-29 10:41:01
7,13,action created,2024-04-29 10:41:21,2024-04-29 10:41:21
8,12,action started via Async Request,2024-04-29 10:42:00,2024-04-29 10:42:00
9,12,action complete via Async Request,2024-04-29 10:42:00,2024-04-29 10:42:00
10,14,action created,2024-04-29 10:42:00,2024-04-29 10:42:00
11,13,action started via Async Request,2024-04-29 10:42:00,2024-04-29 10:42:00
12,13,action complete via Async Request,2024-04-29 10:42:07,2024-04-29 10:42:07
13,10,action started via Async Request,2024-04-29 10:42:07,2024-04-29 10:42:07
14,10,action complete via Async Request,2024-04-29 10:42:07,2024-04-29 10:42:07
15,11,action started via WP Cron,2024-04-30 08:03:26,2024-04-30 08:03:26
16,11,action complete via WP Cron,2024-04-30 08:03:27,2024-04-30 08:03:27
17,15,action created,2024-04-30 08:03:27,2024-04-30 08:03:27
18,14,action started via WP Cron,2024-04-30 21:16:44,2024-04-30 21:16:44
19,14,action complete via WP Cron,2024-04-30 21:16:44,2024-04-30 21:16:44
20,16,action created,2024-04-30 21:16:44,2024-04-30 21:16:44
21,15,action started via WP Cron,2024-04-30 21:16:44,2024-04-30 21:16:44
22,15,action complete via WP Cron,2024-04-30 21:16:44,2024-04-30 21:16:44
23,17,action created,2024-04-30 21:16:44,2024-04-30 21:16:44
24,17,action started via WP Cron,2024-05-02 09:01:04,2024-05-02 09:01:04
25,17,action complete via WP Cron,2024-05-02 09:01:05,2024-05-02 09:01:05
26,18,action created,2024-05-02 09:01:05,2024-05-02 09:01:05
27,16,action started via WP Cron,2024-05-02 09:01:05,2024-05-02 09:01:05
28,16,action complete via WP Cron,2024-05-02 09:01:05,2024-05-02 09:01:05
29,19,action created,2024-05-02 09:01:05,2024-05-02 09:01:05
30,18,action started via WP Cron,2024-05-07 07:07:34,2024-05-07 07:07:34
31,18,action complete via WP Cron,2024-05-07 07:07:35,2024-05-07 07:07:35
32,20,action created,2024-05-07 07:07:35,2024-05-07 07:07:35
33,19,action started via WP Cron,2024-05-07 07:07:35,2024-05-07 07:07:35
34,19,action complete via WP Cron,2024-05-07 07:07:35,2024-05-07 07:07:35
35,21,action created,2024-05-07 07:07:35,2024-05-07 07:07:35
36,22,action created,2024-05-07 07:10:21,2024-05-07 07:10:21
37,22,action started via WP Cron,2024-05-07 07:10:55,2024-05-07 07:10:55
38,22,action complete via WP Cron,2024-05-07 07:10:55,2024-05-07 07:10:55
39,23,action created,2024-05-07 07:20:31,2024-05-07 07:20:31
40,24,action created,2024-05-07 07:20:47,2024-05-07 07:20:47
41,25,action created,2024-05-07 07:20:47,2024-05-07 07:20:47
42,26,action created,2024-05-07 07:20:48,2024-05-07 07:20:48
43,23,action started via WP Cron,2024-05-07 07:20:48,2024-05-07 07:20:48
44,23,action complete via WP Cron,2024-05-07 07:20:48,2024-05-07 07:20:48
45,24,action started via WP Cron,2024-05-07 07:20:48,2024-05-07 07:20:48
46,24,action complete via WP Cron,2024-05-07 07:20:48,2024-05-07 07:20:48
47,25,action started via WP Cron,2024-05-07 07:20:48,2024-05-07 07:20:48
48,25,action complete via WP Cron,2024-05-07 07:20:48,2024-05-07 07:20:48
49,27,action created,2024-05-07 07:20:48,2024-05-07 07:20:48
50,28,action created,2024-05-07 07:22:23,2024-05-07 07:22:23
51,29,action created,2024-05-07 07:22:23,2024-05-07 07:22:23
52,30,action created,2024-05-07 07:22:23,2024-05-07 07:22:23
53,26,action started via WP Cron,2024-05-07 07:22:26,2024-05-07 07:22:26
54,26,action complete via WP Cron,2024-05-07 07:22:26,2024-05-07 07:22:26
55,27,action started via WP Cron,2024-05-07 07:22:26,2024-05-07 07:22:26
56,27,action complete via WP Cron,2024-05-07 07:22:26,2024-05-07 07:22:26
57,28,action started via WP Cron,2024-05-07 07:22:26,2024-05-07 07:22:26
58,28,action complete via WP Cron,2024-05-07 07:22:26,2024-05-07 07:22:26
59,29,action started via WP Cron,2024-05-07 07:22:26,2024-05-07 07:22:26
60,29,action complete via WP Cron,2024-05-07 07:22:26,2024-05-07 07:22:26
61,30,action started via WP Cron,2024-05-07 07:22:26,2024-05-07 07:22:26
62,30,action complete via WP Cron,2024-05-07 07:22:26,2024-05-07 07:22:26
63,31,action created,2024-05-07 07:22:35,2024-05-07 07:22:35
64,32,action created,2024-05-07 07:22:35,2024-05-07 07:22:35
65,31,action started via WP Cron,2024-05-07 07:22:49,2024-05-07 07:22:49
66,31,action failed via WP Cron: Scheduled action for woocommerce_admin/stored_state_setup_for_products/async/run_remote_notifications will not be executed as no callbacks are registered.,2024-05-07 07:22:49,2024-05-07 07:22:49
67,32,action started via WP Cron,2024-05-07 07:22:49,2024-05-07 07:22:49
68,32,action complete via WP Cron,2024-05-07 07:22:49,2024-05-07 07:22:49
69,33,action created,2024-05-07 07:23:53,2024-05-07 07:23:53
70,33,action started via WP Cron,2024-05-07 07:24:48,2024-05-07 07:24:48
71,33,action complete via WP Cron,2024-05-07 07:24:48,2024-05-07 07:24:48
72,34,action created,2024-05-07 07:28:23,2024-05-07 07:28:23
73,34,action started via Async Request,2024-05-07 07:28:31,2024-05-07 07:28:31
74,34,action complete via Async Request,2024-05-07 07:28:31,2024-05-07 07:28:31
75,35,action created,2024-05-07 07:28:40,2024-05-07 07:28:40
76,36,action created,2024-05-07 07:28:40,2024-05-07 07:28:40
77,37,action created,2024-05-07 07:28:41,2024-05-07 07:28:41
78,38,action created,2024-05-07 07:28:41,2024-05-07 07:28:41
79,35,action started via WP Cron,2024-05-07 07:29:27,2024-05-07 07:29:27
80,35,action complete via WP Cron,2024-05-07 07:29:27,2024-05-07 07:29:27
81,36,action started via WP Cron,2024-05-07 07:29:27,2024-05-07 07:29:27
