meta_id,post_id,meta_key,meta_value
1,2,_wp_page_template,default
2,3,_wp_page_template,default
3,7,_wp_trash_meta_status,publish
4,7,_wp_trash_meta_time,1714134373
5,8,_wp_attached_file,woocommerce-placeholder.png
6,8,_wp_attachment_metadata,"a:6:{s:5:""width"";i:1200;s:6:""height"";i:1200;s:4:""file"";s:27:""woocommerce-placeholder.png"";s:8:""filesize"";i:102644;s:5:""sizes"";a:5:{s:6:""medium"";a:5:{s:4:""file"";s:35:""woocommerce-placeholder-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:12475;}s:5:""large"";a:5:{s:4:""file"";s:37:""woocommerce-placeholder-1024x1024.png"";s:5:""width"";i:1024;s:6:""height"";i:1024;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:98202;}s:9:""thumbnail"";a:5:{s:4:""file"";s:35:""woocommerce-placeholder-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:4204;}s:12:""medium_large"";a:5:{s:4:""file"";s:35:""woocommerce-placeholder-768x768.png"";s:5:""width"";i:768;s:6:""height"";i:768;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:60014;}s:29:""woocommerce_thumbnail_preview"";a:5:{s:4:""file"";s:35:""woocommerce-placeholder-300x225.png"";s:5:""width"";i:300;s:6:""height"";i:225;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:12095;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
7,60,_edit_last,1
8,60,_edit_lock,1715068091:1
9,61,_wp_attached_file,2024/05/1-1.png
10,61,_wp_attachment_metadata,"a:6:{s:5:""width"";i:500;s:6:""height"";i:500;s:4:""file"";s:15:""2024/05/1-1.png"";s:8:""filesize"";i:28723;s:5:""sizes"";a:5:{s:6:""medium"";a:5:{s:4:""file"";s:15:""1-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:15393;}s:9:""thumbnail"";a:5:{s:4:""file"";s:15:""1-1-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:5632;}s:21:""woocommerce_thumbnail"";a:6:{s:4:""file"";s:15:""1-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:15393;s:9:""uncropped"";b:0;}s:29:""woocommerce_gallery_thumbnail"";a:5:{s:4:""file"";s:15:""1-1-100x100.png"";s:5:""width"";i:100;s:6:""height"";i:100;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:3098;}s:29:""woocommerce_thumbnail_preview"";a:5:{s:4:""file"";s:15:""1-1-300x225.png"";s:5:""width"";i:300;s:6:""height"";i:225;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:15270;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
11,60,total_sales,0
12,60,_tax_status,taxable
13,60,_tax_class,
14,60,_manage_stock,no
15,60,_backorders,no
16,60,_sold_individually,no
17,60,_virtual,no
18,60,_downloadable,no
19,60,_download_limit,-1
20,60,_download_expiry,-1
21,60,_stock,
22,60,_stock_status,instock
23,60,_wc_average_rating,0
24,60,_wc_review_count,0
25,60,_product_attributes,"a:1:{s:7:""storlek"";a:6:{s:4:""name"";s:7:""storlek"";s:5:""value"";s:19:""2 kg | 6 kg | 12 kg"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:0;}}"
26,60,_product_version,8.8.2
27,62,_variation_description,
28,62,total_sales,0
29,62,_tax_status,taxable
30,62,_tax_class,parent
31,62,_manage_stock,no
32,62,_backorders,no
33,62,_sold_individually,no
34,62,_virtual,no
35,62,_downloadable,no
36,62,_download_limit,-1
37,62,_download_expiry,-1
38,62,_stock,
39,62,_stock_status,instock
40,62,_wc_average_rating,0
41,62,_wc_review_count,0
42,62,attribute_storlek,2 kg
43,62,_product_version,8.8.2
44,63,_variation_description,
45,63,total_sales,0
46,63,_tax_status,taxable
47,63,_tax_class,parent
48,63,_manage_stock,no
49,63,_backorders,no
50,63,_sold_individually,no
51,63,_virtual,no
52,63,_downloadable,no
53,63,_download_limit,-1
54,63,_download_expiry,-1
55,63,_stock,
56,63,_stock_status,instock
57,63,_wc_average_rating,0
58,63,_wc_review_count,0
59,63,attribute_storlek,6 kg
60,63,_product_version,8.8.2
61,64,_variation_description,
62,64,total_sales,0
63,64,_tax_status,taxable
64,64,_tax_class,parent
65,64,_manage_stock,no
66,64,_backorders,no
67,64,_sold_individually,no
68,64,_virtual,no
69,64,_downloadable,no
70,64,_download_limit,-1
71,64,_download_expiry,-1
72,64,_stock,
73,64,_stock_status,instock
74,64,_wc_average_rating,0
75,64,_wc_review_count,0
76,64,attribute_storlek,12 kg
77,64,_product_version,8.8.2
78,62,_regular_price,269
79,62,_thumbnail_id,0
80,62,_price,269
81,63,_regular_price,559
82,63,_thumbnail_id,0
83,63,_price,559
84,64,_regular_price,799
85,64,_thumbnail_id,0
86,64,_price,799
90,60,_thumbnail_id,61
91,65,_edit_last,1
92,65,_edit_lock,1715073508:1
93,65,total_sales,0
94,65,_tax_status,taxable
95,65,_tax_class,
96,65,_manage_stock,no
97,65,_backorders,no
98,65,_sold_individually,no
99,65,_virtual,no
100,65,_downloadable,no
101,65,_download_limit,-1
102,65,_download_expiry,-1
103,65,_stock,
104,65,_stock_status,instock
105,65,_wc_average_rating,0
106,65,_wc_review_count,0
107,65,_product_attributes,"a:1:{s:7:""storlek"";a:6:{s:4:""name"";s:7:""storlek"";s:5:""value"";s:19:""2 kg | 6 kg | 12 kg"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:0;}}"
108,65,_product_version,8.8.2
109,66,_variation_description,
110,66,total_sales,0
111,66,_tax_status,taxable
112,66,_tax_class,parent
113,66,_manage_stock,no
114,66,_backorders,no
115,66,_sold_individually,no
116,66,_virtual,no
117,66,_downloadable,no
118,66,_download_limit,-1
119,66,_download_expiry,-1
120,66,_stock,
121,66,_stock_status,instock
122,66,_wc_average_rating,0
123,66,_wc_review_count,0
124,66,attribute_storlek,2 kg
125,66,_product_version,8.8.2
126,67,_variation_description,
127,67,total_sales,0
128,67,_tax_status,taxable
129,67,_tax_class,parent
130,67,_manage_stock,no
131,67,_backorders,no
132,67,_sold_individually,no
133,67,_virtual,no
134,67,_downloadable,no
135,67,_download_limit,-1
136,67,_download_expiry,-1
137,67,_stock,
138,67,_stock_status,instock
139,67,_wc_average_rating,0
140,67,_wc_review_count,0
141,67,attribute_storlek,6 kg
142,67,_product_version,8.8.2
143,68,_variation_description,
144,68,total_sales,0
145,68,_tax_status,taxable
146,68,_tax_class,parent
147,68,_manage_stock,no
148,68,_backorders,no
149,68,_sold_individually,no
150,68,_virtual,no
151,68,_downloadable,no
152,68,_download_limit,-1
153,68,_download_expiry,-1
154,68,_stock,
155,68,_stock_status,instock
156,68,_wc_average_rating,0
157,68,_wc_review_count,0
158,68,attribute_storlek,12 kg
159,68,_product_version,8.8.2
