meta_id,term_id,meta_key,meta_value
1,17,order,0
2,17,product_count_product_cat,10
3,18,product_count_product_tag,6
4,19,product_count_product_tag,5
5,20,product_count_product_tag,4
6,21,product_count_product_tag,4
7,22,product_count_product_tag,10
8,23,product_count_product_tag,11
9,24,product_count_product_tag,1
10,25,product_count_product_tag,1
11,26,product_count_product_tag,2
12,27,product_count_product_tag,1
13,28,product_count_product_tag,7
14,29,order,0
15,30,order,0
16,31,order,0
17,32,order,0
18,33,order,0
19,34,order,0
20,32,product_count_product_cat,2
21,30,product_count_product_cat,4
22,29,product_count_product_cat,13
23,16,product_count_product_cat,0
24,35,product_count_product_tag,13
25,36,product_count_product_tag,4
26,37,product_count_product_tag,10
27,31,product_count_product_cat,2
28,38,order,0
29,38,product_count_product_cat,1
30,39,order,0
31,39,product_count_product_cat,2
32,34,product_count_product_cat,4
33,40,product_count_product_tag,2
34,33,product_count_product_cat,4
35,41,order,0
36,41,product_count_product_cat,2
37,42,product_count_product_tag,2
38,43,product_count_product_tag,1
39,44,order,0
40,45,order,0
41,46,order,0
42,44,product_count_product_cat,1
43,46,product_count_product_cat,1
44,45,product_count_product_cat,1
45,47,product_count_product_tag,1
46,48,product_count_product_tag,1
47,49,product_count_product_tag,1
