term_id,name,slug,term_group
1,Uncategorized,uncategorized,0
2,twentytwentyfour,twentytwentyfour,0
3,simple,simple,0
4,grouped,grouped,0
5,variable,variable,0
6,external,external,0
7,exclude-from-search,exclude-from-search,0
8,exclude-from-catalog,exclude-from-catalog,0
9,featured,featured,0
10,outofstock,outofstock,0
11,rated-1,rated-1,0
12,rated-2,rated-2,0
13,rated-3,rated-3,0
14,rated-4,rated-4,0
15,rated-5,rated-5,0
16,Uncategorized,uncategorized,0
17,Hundar,hundar,0
18,Torrfoder,torrfoder,0
19,Valp,valp,0
20,senior,senior,0
21,blötmat,blotmat,0
22,hund,hund,0
23,adult,adult,0
24,allergi,allergi,0
25,diet,diet,0
26,godis,godis,0
27,koppel,koppel,0
28,leksak,leksak,0
29,Katt,katt,0
30,Mat,mat,0
31,Torrfoder,torrfoder,0
32,Blötmat,blotmat,0
33,Tillbehör,tillbehor,0
34,Leksaker,leksaker,0
35,katt,katt,0
36,spannmålsfri,spannmalsfri,0
37,kattunge,kattunge,0
38,Kattgodis,kattgodis,0
39,Klösträd,klostrad,0
40,klösträd,klostrad,0
41,Kattsand,kattsand,0
42,kattsand,kattsand,0
43,kattspö,kattspo,0
44,Gnagare,gnagare,0
45,Mat,mat-gnagare,0
46,Leksaker,leksaker-gnagare,0
47,Hamster,hamster,0
48,mus,mus,0
49,hjul,hjul,0
